#Emin  Emax   Data/MC  Error    MC
3.5    4.0    0.460    0.047    196.6
4.0    4.5    0.455    0.024    182.8
4.5    5.0    0.476    0.017    167.8
5.0    5.5    0.455    0.010    153.2
5.5    6.0    0.441    0.009    137.9
6.0    6.5    0.444    0.010    121.9
6.5    7.0    0.451    0.010    106.7
7.0    7.5    0.444    0.011    92.1
7.5    8.0    0.449    0.009    78.0
8.0    8.5    0.434    0.010    65.1
8.5    9.0    0.428    0.011    53.4
9.0    9.5    0.429    0.012    42.9
9.5    10.0    0.431    0.013    33.7
10.0    10.5    0.434    0.013    26.0
10.5    11.0    0.428    0.016    19.5
11.0    11.5    0.433    0.017    14.3
11.5    12.0    0.436    0.020    10.2
12.0    12.5    0.445    0.023    7.1
12.5    13.0    0.416    0.027    4.8
13.0    13.5    0.449    0.035    3.1
13.5    14.5    0.461    0.035    3.2
14.5    15.5    0.465    0.062    1.1
15.5    19.5    0.405    0.093    0.5
