#E        P_E
0.00504  0.00350
0.01008  0.01380
0.01512  0.03070
0.02016  0.05380
0.02520  0.08300
0.03024  0.11790
0.03528  0.15820
0.04032  0.20380
0.04537  0.25430
0.05041  0.30940
0.05545  0.36910
0.06049  0.43290
0.06553  0.50060
0.07057  0.57210
0.07561  0.64690
0.08065  0.72500
0.08569  0.80610
0.09073  0.88990
0.09577  0.97610
0.10081  1.06470
0.10585  1.15530
0.11089  1.24770
0.11593  1.34170
0.12097  1.43700
0.12601  1.53350
0.13106  1.63100
0.13610  1.72910
0.14114  1.82780
0.14618  1.92670
0.15122  2.02580
0.15626  2.12470
0.16130  2.22330
0.16634  2.32140
0.17138  2.41870
0.17642  2.51510
0.18146  2.61050
0.18650  2.70440
0.19154  2.79690
0.19658  2.88770
0.20162  2.97660
0.20666  3.06340
0.21171  3.14790
0.21675  3.23000
0.22179  3.30940
0.22683  3.38590
0.23187  3.45940
0.23691  3.52980
0.24195  3.59660
0.24699  3.65990
0.25203  3.71940
0.25707  3.77490
0.26211  3.82620
0.26715  3.87310
0.27219  3.91540
0.27723  3.95290
0.28227  3.98540
0.28731  4.01270
0.29235  4.03440
0.29740  4.05050
0.30244  4.06050
0.30748  4.06440
0.31252  4.06170
0.31756  4.05220
0.32260  4.03560
0.32764  4.01140
0.33268  3.97940
0.33772  3.93910
0.34276  3.89000
0.34780  3.83160
0.35284  3.76320
0.35788  3.68420
0.36292  3.59370
0.36796  3.49070
0.37300  3.37400
0.37804  3.24220
0.38309  3.09320
0.38813  2.92460
0.39317  2.73300
0.39821  2.51360
0.40325  2.25890
0.40829  1.95670
0.41333  1.58320
0.41837  1.07830
0.42341  0.00000
